City,Latitude,Longitude,Max Temp(F),Humidity(%),Cloudiness(%),Wind Speed (mph),Country,Date
Avera,33.19,-82.53,95.0,44,1,9.17,US,1593537809
Sørland,67.67,12.69,46.4,75,75,31.09,NO,1593537809
Pahrump,36.21,-115.98,84.0,15,0,3.0,US,1593537667
Alghero,40.56,8.32,82.4,54,0,8.05,IT,1593537810
Vardø,70.37,31.11,42.8,93,90,19.46,NO,1593537810
Dingle,11.0,122.67,76.91,86,1,2.01,PH,1593537810
Westport,41.14,-73.36,73.0,99,54,6.11,US,1593537810
Dārāb,28.75,54.54,86.07,13,0,10.18,IR,1593537810
Valparaíso,-33.04,-71.63,62.6,48,48,3.36,CL,1593537810
Tam Ky,15.57,108.48,84.2,79,20,2.24,VN,1593537810
Bethel,41.37,-73.41,71.6,78,75,5.82,US,1593537810
Lebu,-37.62,-73.65,53.31,85,98,17.52,CL,1593537810
Tuatapere,-46.13,167.68,39.0,83,73,3.0,NZ,1593537810
Ilulissat,69.22,-51.1,42.8,81,75,5.82,GL,1593537810
Ponnāni,10.77,75.93,77.0,88,90,4.7,IN,1593537810
Sterling,39.01,-77.43,88.0,42,20,9.17,US,1593537811
Garoowe,8.41,48.48,89.31,38,55,22.06,SO,1593537649
Khatanga,71.97,102.5,66.76,65,84,6.44,RU,1593537811
Lompoc,34.64,-120.46,64.99,77,0,8.05,US,1593537707
Ozinki,51.18,49.68,57.92,65,19,6.89,RU,1593537811
Rozhyshche,50.92,25.27,73.99,56,14,7.34,UA,1593537811
Nevel'sk,46.67,141.86,55.4,87,75,2.24,RU,1593537811
Sanford,28.8,-81.27,97.0,46,75,10.29,US,1593537811
Tuktoyaktuk,69.45,-133.04,50.0,81,90,4.7,CA,1593537811
Husavik,66.04,-17.34,55.4,58,1,13.87,IS,1593537811
Airai,-8.93,125.41,54.91,87,90,1.79,TL,1593537811
Asău,46.43,26.4,68.0,79,17,2.3,RO,1593537811
Barrow,71.29,-156.79,37.4,86,90,7.27,US,1593537811
Bilma,18.69,12.92,98.15,9,0,2.91,NE,1593537811
Esperance,-33.87,121.9,53.6,71,90,25.28,AU,1593537812
Castro,-24.79,-50.01,67.12,72,2,21.77,BR,1593537812
Carnarvon,-24.87,113.63,59.0,100,5,9.17,AU,1593537812
Ust'-Uda,54.17,103.03,65.57,66,32,3.96,RU,1593537812
Petropavlovsk-Kamchatskiy,53.05,158.65,50.0,100,20,6.71,RU,1593537812
Ribeira Grande,38.52,-28.7,73.4,78,40,20.8,PT,1593537812
Nizwá,22.93,57.53,92.28,42,91,15.59,OM,1593537812
Omboué,-1.57,9.26,73.56,74,15,9.26,GA,1593537812
Olafsvik,64.89,-23.71,50.74,83,56,4.25,IS,1593537812
Morros,-9.45,-46.3,90.05,27,0,5.86,BR,1593537812
New Norfolk,-42.78,147.06,41.0,84,89,2.75,AU,1593537812
Akçakoca,41.09,31.12,73.0,68,0,1.92,TR,1593537812
Oranjemund,-28.55,16.43,69.66,29,0,8.46,NA,1593537812
Marzuq,14.4,46.47,89.87,31,50,4.21,YE,1593537813
Vieste,41.88,16.18,86.0,48,20,14.99,IT,1593537813
Geghamasar,40.31,45.68,53.56,80,100,7.81,AM,1593537813
Seymour,38.96,-85.89,84.0,65,5,5.82,US,1593537672
Luena,-11.78,19.92,63.55,36,0,3.02,AO,1593537813
Saint-Joseph,-21.37,55.62,66.2,72,24,6.93,RE,1593537813
Bluff,-46.6,168.33,39.0,83,73,3.0,NZ,1593537813
Torbay,47.67,-52.73,73.4,83,90,6.93,CA,1593537813
Tiznit Province,29.58,-9.5,84.69,42,0,7.52,MA,1593537813
Hithadhoo,-0.6,73.08,84.76,66,0,4.94,MV,1593537813
Puerto Ayora,-0.74,-90.35,77.0,69,75,17.22,EC,1593537813
Arandis,-22.42,14.97,72.0,41,0,1.99,NA,1593537813
Clyde River,70.47,-68.59,35.6,93,75,13.87,CA,1593537813
Jalu,29.03,21.55,94.32,14,0,8.28,LY,1593537814
Arraial do Cabo,-22.97,-42.03,77.0,61,88,26.4,BR,1593537814
Mangochi,-14.48,35.26,72.5,55,13,11.05,MW,1593537814
Aklavik,68.22,-135.01,62.6,72,75,3.36,CA,1593537814
Karla,59.37,24.93,60.01,93,40,8.05,EE,1593537814
Mossamedes,-15.2,12.15,70.65,82,0,8.21,AO,1593537814
Makakilo City,21.35,-158.09,78.8,73,20,3.36,US,1593537814
Hofn,64.25,-15.21,45.66,77,14,14.25,IS,1593537814
Mahébourg,-20.41,57.7,68.0,82,20,2.24,MU,1593537814
Kavieng,-2.57,150.8,81.68,77,100,8.5,PG,1593537814
Jiménez,28.33,-105.4,82.4,34,75,6.13,MX,1593537814
Baracoa,20.35,-74.5,85.6,66,38,8.46,CU,1593537815
Elizabeth City,36.29,-76.25,93.99,49,20,3.36,US,1593537815
Mazyr,52.05,29.25,67.5,82,16,5.73,BY,1593537815
Krasnosel'kup,65.7,82.47,54.63,86,64,19.37,RU,1593537815
Asadābād,34.78,48.12,69.96,24,0,1.97,IR,1593537815
Iqaluit,63.75,-68.51,42.8,75,75,6.93,CA,1593537815
Springfield,37.22,-93.3,78.01,94,75,12.75,US,1593537610
Pisco,-13.7,-76.22,66.0,78,68,4.0,PE,1593537815
Kayes,14.0,-11.0,95.0,38,39,3.06,ML,1593537815
Östersund,63.18,14.64,55.4,62,67,16.11,SE,1593537815
Azle,32.9,-97.55,88.0,62,75,21.92,US,1593537793
Malumfashi,11.79,7.62,85.51,53,92,5.86,NG,1593537816
Port Blair,11.67,92.75,82.15,79,100,14.47,IN,1593537816
Pemangkat,1.17,108.97,77.22,88,79,4.79,ID,1593537816
Pangnirtung,66.15,-65.71,37.4,93,90,11.41,CA,1593537816
Sovetskiy,61.36,63.58,50.67,69,100,3.11,RU,1593537816
Sevierville,35.87,-83.56,80.6,69,1,4.7,US,1593537816
Kapaa,22.08,-159.32,78.8,78,90,8.05,US,1593537816
Saint-Philippe,-21.36,55.77,66.2,72,31,6.93,RE,1593537816
Nishihara,26.18,127.76,84.2,89,40,17.22,JP,1593537816
Nanortalik,60.14,-45.24,41.11,87,100,6.44,GL,1593537816
Yaguajay,22.33,-79.24,87.58,59,6,9.08,CU,1593537816
Constitución,-35.33,-72.42,55.69,72,86,6.73,CL,1593537816
Puerto Escondido,15.85,-97.07,87.8,66,75,9.22,MX,1593537817
Kapit,2.02,112.93,74.68,95,100,2.08,MY,1593537817
Alofi,-19.06,-169.92,75.2,100,97,5.82,NU,1593537817
Chui,-33.7,-53.46,58.48,97,100,3.78,UY,1593537817
Ancud,-41.87,-73.82,51.01,93,90,14.99,CL,1593537817
Lososina,49.0,140.31,49.35,90,0,1.54,RU,1593537817
Udachny,66.42,112.4,71.6,33,0,4.47,RU,1593537817
Vuktyl,63.86,57.31,48.43,64,98,4.21,RU,1593537817
Sandachō,34.88,135.23,71.01,100,100,1.99,JP,1593537664
Namatanai,-3.67,152.43,78.89,80,91,4.68,PG,1593537817
Pevek,69.7,170.31,34.57,95,96,7.02,RU,1593537817
Severo-Kuril'sk,50.68,156.12,46.35,88,91,17.54,RU,1593537818
Lima,-12.04,-77.03,64.54,72,46,8.5,PE,1593537697
Talcahuano,-36.72,-73.12,55.4,93,90,17.22,CL,1593537818
Cherskiy,68.75,161.3,41.99,74,40,7.85,RU,1593537818
Rovaniemi,66.5,25.72,60.8,77,20,10.29,FI,1593537818
Mount Gambier,-37.83,140.77,44.6,75,0,11.41,AU,1593537818
Çubuk,40.24,33.03,78.8,29,20,11.41,TR,1593537818
Oxapampa,-10.58,-75.4,72.07,56,21,5.01,PE,1593537818
Salalah,17.02,54.09,84.2,89,40,9.17,OM,1593537630
Dikson,73.51,80.55,44.96,82,94,4.43,RU,1593537818
Narsaq,60.92,-46.05,55.4,50,40,9.17,GL,1593537818
Cidreira,-30.18,-50.21,61.65,97,100,7.47,BR,1593537818
George Town,5.41,100.34,84.0,94,20,5.82,MY,1593537819
Avarua,-21.21,-159.78,75.2,78,72,13.87,CK,1593537819
Zhigansk,66.77,123.37,66.92,54,3,8.39,RU,1593537784
Collie,-33.37,116.15,52.0,67,47,6.17,AU,1593537819
Yangambi,0.81,24.43,74.52,90,72,1.01,CD,1593537819
Mānsa,29.98,75.38,102.74,22,0,3.98,IN,1593537819
Halifax,44.65,-63.57,73.99,94,90,6.93,CA,1593537690
Mogadishu,2.04,45.34,79.34,81,22,20.0,SO,1593537565
Hobyo,5.35,48.53,79.92,74,100,25.3,SO,1593537819
Vacaville,38.36,-121.99,84.0,28,1,5.82,US,1593537819
Naryan-Mar,67.67,53.09,53.91,62,62,4.32,RU,1593537819
Cayenne,4.93,-52.33,87.8,62,9,12.75,GF,1593537791
Manono,-7.3,27.42,83.34,30,86,6.64,CD,1593537820
Ambon City,-3.7,128.18,79.0,14,63,8.52,ID,1593537820
Ocean City,39.28,-74.57,82.4,48,40,5.82,US,1593537820
Siniscola,40.57,9.69,87.8,35,9,10.29,IT,1593537820
Hobart,-42.88,147.33,44.6,81,81,5.82,AU,1593537573
Port Lincoln,-34.73,135.87,54.54,83,0,16.67,AU,1593537820
Bathsheba,13.22,-59.52,87.8,66,40,19.46,BB,1593537820
Fairbanks,64.84,-147.72,53.01,81,40,5.82,US,1593537820
Vila Velha,-20.33,-40.29,75.0,78,75,2.24,BR,1593537670
Hamilton,39.18,-84.53,88.0,66,40,4.45,US,1593537763
Yerbogachën,61.28,108.01,67.95,57,94,1.88,RU,1593537820
Traismauer,48.35,15.76,80.01,52,5,6.89,AT,1593537820
Newport,51.59,-3.0,66.0,80,100,1.99,GB,1593537663
Talnakh,69.49,88.4,57.2,71,33,15.66,RU,1593537821
Tena,-0.98,-77.82,79.97,71,39,3.87,EC,1593537821
Thompson,55.74,-97.86,57.2,87,90,12.75,CA,1593537821
Codrington,-38.27,141.97,44.4,71,0,11.86,AU,1593537821
Qaqortoq,60.72,-46.03,55.4,50,40,9.17,GL,1593537821
Saint-Leu,-21.15,55.28,66.2,72,17,6.93,RE,1593537821
Matara,5.95,80.54,79.84,87,100,7.99,LK,1593537821
Jāwā,31.85,35.94,77.0,47,0,2.24,JO,1593537821
Kuchera,26.98,73.97,93.15,43,31,15.77,IN,1593537821
Upernavik,72.79,-56.15,40.37,75,44,10.13,GL,1593537821
Ponta Delgada,37.73,-25.67,68.0,94,75,17.22,PT,1593537821
Plaster Rock,46.91,-67.39,73.4,64,75,10.29,CA,1593537821
Mufumbwe,-13.68,24.8,68.99,37,31,3.22,ZM,1593537822
Kaitangata,-46.28,169.85,43.0,74,98,11.01,NZ,1593537822
Hong Kong,22.29,114.16,82.99,81,100,5.99,HK,1593537822
Oussouye,12.48,-16.55,80.6,83,20,4.7,SN,1593537822
Khani,41.96,42.96,77.0,73,75,8.05,GE,1593537822
Tongchuanshi,35.08,109.09,77.38,37,83,2.28,CN,1593537822
Te Anau,-45.42,167.72,39.51,86,89,3.83,NZ,1593537822
Wattegama,6.8,81.48,79.95,71,100,9.26,LK,1593537822
Port Augusta,-32.5,137.77,48.0,56,0,10.29,AU,1593537822
Marsá Maţrūḩ,31.35,27.25,75.2,83,40,14.99,EG,1593537822
San Patricio,19.22,-104.7,91.4,63,20,5.82,MX,1593537822
Inuvik,68.35,-133.72,60.8,72,75,6.26,CA,1593537822
Ulaangom,49.98,92.07,62.4,83,100,4.18,MN,1593537822
Pangkalanbuun,-2.68,111.62,74.07,98,95,2.33,ID,1593537823
Port Hardy,50.7,-127.42,55.4,82,90,14.99,CA,1593537823
Lata,40.16,-8.33,77.0,89,0,1.99,PT,1593537823
Kunduz,36.73,68.86,83.68,31,56,2.93,AF,1593537823
Pecos,31.42,-103.49,95.0,21,1,14.99,US,1593537823
Sur,22.57,59.53,85.01,73,0,16.22,OM,1593537823
Muroto-misakicho,33.28,134.15,76.39,87,94,20.07,JP,1593537823
Batagay-Alyta,67.8,130.41,60.75,61,1,2.48,RU,1593537823
Boralday,43.36,76.86,68.0,52,40,6.71,KZ,1593537823
Tegul'det,57.31,88.17,61.2,72,87,3.71,RU,1593537823
Egvekinot,66.32,-179.17,35.04,92,94,11.03,RU,1593537823
Brodokalmak,55.57,62.08,50.0,87,40,6.71,RU,1593537824
Bolitoc,15.74,119.88,81.14,77,64,6.2,PH,1593537824
Leningradskiy,69.38,178.42,33.55,97,100,4.63,RU,1593537824
Longyearbyen,78.22,15.64,48.2,42,75,6.93,SJ,1593537757
Shafter,35.5,-119.27,82.99,28,1,3.02,US,1593537777
The Valley,18.22,-63.06,89.6,62,20,12.75,AI,1593537824
Haines Junction,60.75,-137.51,57.99,44,78,2.37,CA,1593537824
Aspe,38.35,-0.77,87.01,61,20,10.29,ES,1593537824
Kaeo,-35.1,173.78,48.0,3,0,5.99,NZ,1593537824
Tiszanána,47.57,20.53,82.0,44,0,4.7,HU,1593537824
Areosa,41.72,-8.86,84.0,82,20,16.11,PT,1593537824
Kautokeino,69.01,23.04,42.37,88,100,18.61,NO,1593537824
Tamandaré,-8.76,-35.1,80.62,71,7,10.8,BR,1593537824
Toropets,56.5,31.64,61.99,83,74,4.99,RU,1593537824
Bredasdorp,-34.53,20.04,55.4,87,9,3.36,ZA,1593537825
Ambilobe,-13.2,49.05,70.59,77,0,2.19,MG,1593537825
Kysucké Nové Mesto,49.3,18.78,73.4,56,40,4.7,SK,1593537825
Qaanaaq,77.48,-69.36,40.59,77,94,2.06,GL,1593537825
Alekseyevsk,57.84,108.35,66.07,63,22,1.72,RU,1593537825
Ingham,42.6,-84.38,86.0,51,40,5.3,US,1593537825
Port Hedland,-20.32,118.57,64.4,59,16,5.82,AU,1593537825
Maniitsoq,65.42,-52.9,46.42,79,96,14.99,GL,1593537825
Novoagansk,61.94,76.66,48.92,90,45,6.38,RU,1593537825
Sos'va,59.18,61.86,46.58,91,83,3.06,RU,1593537825
Sabang,5.89,95.32,83.73,71,79,4.41,ID,1593537825
Cockburn Town,21.46,-71.14,87.8,58,40,9.17,TC,1593537825
Mentakab,3.49,102.35,75.54,94,100,0.92,MY,1593537825
Dalnerechensk,45.93,133.72,59.52,93,0,4.61,RU,1593537825
Darłowo,54.42,16.41,66.0,59,85,22.37,PL,1593537826
Moree,-29.47,149.85,42.8,75,0,14.99,AU,1593537826
Beloha,-25.17,45.05,62.58,81,1,3.69,MG,1593537826
Cabra,37.47,-4.44,98.01,21,0,1.01,ES,1593537826
Celestún,20.87,-90.4,89.02,60,26,3.24,MX,1593537826
Klæbu,63.3,10.48,53.6,66,75,14.99,NO,1593537826
Phek,25.67,94.5,63.19,100,83,1.23,IN,1593537826
Vadinsk,53.69,43.06,57.96,83,40,7.81,RU,1593537826
Acapulco de Juárez,16.86,-99.89,87.8,66,40,6.93,MX,1593537795
La Asuncion,11.03,-63.86,82.67,69,53,16.53,VE,1593537826
São João da Barra,-21.64,-41.05,77.0,61,75,18.34,BR,1593537826
Pauini,-7.71,-66.98,93.27,41,61,2.17,BR,1593537827
Mitrofanovka,49.97,39.69,68.2,68,26,5.32,RU,1593537827
Santa Rosa,14.31,121.11,82.0,78,75,3.6,PH,1593537827
Katobu,-4.94,122.53,73.06,93,1,4.63,ID,1593537827
Deputatsky,69.3,139.9,46.53,70,26,2.73,RU,1593537827
Belokurikha,52.0,84.99,66.31,52,100,3.53,RU,1593537827
Sola,-13.88,167.55,77.13,81,55,25.41,VU,1593537827
Mokhsogollokh,61.47,128.92,60.31,63,0,3.27,RU,1593537827
Luancheng,37.88,114.65,73.4,83,0,4.47,CN,1593537827
Nemuro,43.32,145.57,55.99,99,100,12.66,JP,1593537827
Ahipara,-35.17,173.17,52.45,75,17,12.73,NZ,1593537827
Nārāyanpet,16.73,77.5,80.01,77,82,11.01,IN,1593537827
Araouane,18.9,-3.53,109.06,8,3,10.4,ML,1593537827
Brae,60.4,-1.35,53.6,93,91,17.22,GB,1593537828
Port Hawkesbury,45.62,-61.35,73.0,88,90,6.93,CA,1593537828
Campinas,-22.91,-47.06,77.0,44,20,19.46,BR,1593537828
Homer,59.64,-151.55,53.6,76,1,6.93,US,1593537642
Touros,-5.2,-35.46,84.2,62,20,13.87,BR,1593537828
São Filipe,14.9,-24.5,75.76,70,4,17.72,CV,1593537828
Klaksvík,62.23,-6.59,50.0,66,99,13.87,FO,1593537828
Manglaur,29.8,77.87,92.28,41,3,10.74,IN,1593537828
Mbandaka,0.05,18.26,74.5,88,50,2.98,CD,1593537828
Barão de Melgaço,-16.19,-55.97,93.2,28,33,13.87,BR,1593537828
Souillac,-20.52,57.52,68.0,82,20,2.24,MU,1593537828
Mayumba,-3.43,10.66,73.2,79,0,6.2,GA,1593537829
Kiryat Gat,31.61,34.76,80.01,79,0,10.0,IL,1593537829
Gisborne,-38.65,178.0,48.99,64,67,10.0,NZ,1593537829
Murgab,37.5,61.97,82.4,28,0,5.1,TM,1593537829
Burgersdorp,-31.0,26.33,45.54,54,0,1.54,ZA,1593537829
São Miguel do Araguaia,-13.28,-50.16,88.57,32,44,7.09,BR,1593537829
Gejiu,23.31,103.16,61.77,100,100,3.13,CN,1593537829
Zheleznodorozhnyy,55.75,38.0,73.99,56,75,8.95,RU,1593537829
Ponta do Sol,32.67,-17.1,72.0,73,75,9.17,PT,1593537829
Sanary-sur-Mer,43.12,5.8,80.01,73,0,5.01,FR,1593537829
Coyhaique,-45.58,-72.07,37.4,82,90,3.36,CL,1593537641
Rawson,-43.3,-65.1,45.95,88,93,22.12,AR,1593537829
Orange Cove,36.62,-119.31,79.0,36,1,3.67,US,1593537830
Soldotna,60.49,-151.06,54.0,71,1,5.82,US,1593537647
Vostok,46.49,135.88,51.17,99,0,1.68,RU,1593537830
Iskateley,67.68,53.15,53.58,61,61,4.32,RU,1593537830
Belmonte,-15.86,-38.88,80.6,65,40,12.75,BR,1593537830
Sanming,26.25,117.62,79.56,81,100,2.08,CN,1593537830
Le Port,-20.94,55.29,66.2,77,19,5.82,RE,1593537830
Port Moresby,-9.44,147.18,74.82,89,80,11.95,PG,1593537830
Tanout,14.97,8.89,97.86,21,52,1.92,NE,1593537830
Oodweyne,9.41,45.06,81.09,47,61,20.07,SO,1593537830
Kanniyākumāri,8.08,77.57,80.74,80,17,18.84,IN,1593537830
Paamiut,61.99,-49.67,39.67,93,31,9.24,GL,1593537830
Mulchén,-37.72,-72.23,51.8,93,90,14.99,CL,1593537830
Ankazoabo,-22.28,44.52,66.6,56,0,12.21,MG,1593537830
Gizo Government Station,-8.1,156.84,80.47,78,22,4.09,SB,1593537831
San Policarpo,12.18,125.51,80.55,77,52,0.49,PH,1593537831
Antofagasta,-23.65,-70.4,66.0,77,40,14.99,CL,1593537566
Saint George,37.1,-113.58,78.01,13,1,3.69,US,1593537831
Brazzaville,-4.27,15.28,84.2,58,26,5.82,CG,1593537831
Yangi Marg`ilon,40.43,71.72,80.6,30,98,2.24,UZ,1593537831
Agadez,19.75,10.25,98.17,9,0,3.8,NE,1593537831
Itoman,26.12,127.67,84.2,89,40,17.22,JP,1593537831
Kondinskoye,59.65,67.41,48.43,79,5,2.48,RU,1593537831
Mayo,38.89,-76.51,87.01,58,20,8.55,US,1593537831
Jaisalmer,26.91,70.92,100.92,29,30,14.36,IN,1593537831
San Francisco,37.77,-122.42,70.0,68,20,4.7,US,1593537657
Barinas,8.62,-70.21,86.72,58,0,5.21,VE,1593537831
Abu Samrah,35.3,37.18,80.26,45,0,17.52,SY,1593537832
Qasigiannguit,68.82,-51.19,42.8,81,75,5.82,GL,1593537832
Adeje,28.12,-16.73,78.8,61,20,21.92,ES,1593537832
Quixeramobim,-5.2,-39.29,86.85,43,0,7.18,BR,1593537832
Tilichiki,60.47,166.1,41.58,76,78,10.96,RU,1593537832
Saint Anthony,45.02,-93.22,84.99,78,90,8.05,US,1593537832
Petatlán,17.52,-101.27,89.6,62,40,10.29,MX,1593537832
Flinders,-34.58,150.86,53.01,88,2,1.01,AU,1593537832
Qusar,41.43,48.43,66.4,40,55,4.97,AZ,1593537832
Yeppoon,-23.13,150.73,64.4,72,90,8.05,AU,1593537832
Goderich,43.75,-81.72,86.0,74,0,9.75,CA,1593537832
Haapiti,-17.57,-149.87,71.6,78,20,4.7,PF,1593537832
Sidrolândia,-20.93,-54.96,82.4,45,20,25.28,BR,1593537833
Tazovsky,67.47,78.7,50.38,97,100,12.06,RU,1593537833
Koulikoro,14.0,-7.75,94.17,33,78,0.43,ML,1593537833
Maningrida,-12.07,134.27,65.8,91,31,7.29,AU,1593537833
Mayahi,13.96,7.67,93.27,33,78,2.66,NE,1593537833
Pirapora,-17.34,-44.94,80.17,46,60,4.47,BR,1593537833
Korla,41.76,86.15,73.89,19,0,2.89,CN,1593537833
Honiara,-9.43,159.95,75.2,94,40,3.36,SB,1593537833
Kathu,7.92,98.33,80.6,88,20,2.24,TH,1593537833
Canguçu,-31.39,-52.68,59.0,100,90,2.24,BR,1593537833
Alekseyevskaya,50.29,42.18,75.99,52,12,1.99,RU,1593537833
Nabire,-3.37,135.48,75.42,86,99,3.65,ID,1593537833
Beringovskiy,63.05,179.32,41.47,97,100,6.98,RU,1593537834
Tianpeng,30.99,103.94,82.99,1,91,4.45,CN,1593537834
Pacific Grove,36.62,-121.92,73.0,77,1,4.7,US,1593537556
Oranjestad,12.52,-70.03,89.6,59,40,18.34,AW,1593537637
Berlevåg,70.86,29.09,41.0,100,75,24.16,NO,1593537834
Warud,21.47,78.27,86.49,62,32,7.65,IN,1593537834
Litovko,49.24,135.17,59.85,93,0,2.82,RU,1593537834
Port-Cartier,50.03,-66.87,68.0,77,40,10.29,CA,1593537834
Gachsaran,30.36,50.8,93.2,14,0,6.93,IR,1593537834
Sitka,57.05,-135.33,53.6,81,90,4.7,US,1593537834
Brownsville,25.9,-97.5,90.0,70,75,23.04,US,1593537834
Isangel,-19.55,169.27,67.69,67,0,13.91,VU,1593537835
Letpadan,17.78,95.75,79.74,88,100,6.33,MM,1593537835
Kismayo,-0.36,42.55,78.85,77,7,19.15,SO,1593537835
La Sarre,48.8,-79.2,82.35,51,0,1.43,CA,1593537835
Basco,20.45,121.97,85.42,80,100,16.53,PH,1593537835
Jining,35.41,116.58,71.31,77,0,5.12,CN,1593537835
Mugur-Aksy,50.35,90.5,53.62,83,100,3.56,RU,1593537835
Klyuchi,52.27,79.17,69.13,65,16,9.06,RU,1593537835
Corner Brook,48.97,-57.95,82.4,58,75,2.24,CA,1593537835
Mīrābād,30.44,61.84,91.71,11,0,10.0,AF,1593537835
